Street Name,From Street Name,To Street Name,PCI,Surface Distress Index,Roughness Index,Condition Rating
JAMES P BRAWLEY DR,WHEELER ST,BEDFORD ST,21.0,36.845,22.06104813,Poor
9TH ST,WATKINS ST,FIELDER AVE,24.0,39.89,47.80999398,Poor
LENOX RD NE,MORNINGSIDE PL,OGILVIE DR NE,24.0,88.6,69.471,Very Good
OGLETHORPE AVE SW,AZALIA ST,GORDON PL SW,37.0,55.45,55.7516357,Fair
MARTIN ST,SOLOMON ST,NORTH END,67.0,76.26,69.45416988,Good
WYLIE ST,WALTHALL ST,CLEVELAND ST,64.0,78.295,75.80247286,Very Good
HUMPHRIES DR SE,SCHOOL DR,MILES DR SE,17.0,41.3,66.01784426,Marginal
CAMPBELLTON RD,BYEWOOD LN,CAMPBELLTON PL,15.0,42.385,56.25072713,Marginal
DELEVAN ST,SMITH ST,IRA ST,16.0,48.535,42.01335097,Marginal
ATLANTIS AVE,ELIZABETH ST,EAST END,24.0,45.175,37.30167357,Poor
BOULEVARD,HAMILTON AVE,MEAD ST,20.0,55.725,50.093733,Marginal
LARCHMONT CT,LARCHMONT DR,NE END,24.0,54.23,36.27612594,Marginal
HOWELL MILL RD,HOLMES ST,DEFOOR AVE,24.0,77.5,81.21492747,Very Good
LAKEWOOD WAY,PRYOR RD,LAKEWOOD WAY,19.0,12.09,67.27387675,Poor
BOYKIN ST,WEST AVE,EAST END,20.0,50.235,51.97313019,Marginal
DODD AVE,COOPER ST,FORMWALT ST,65.0,63.6,67.50402797,Fair
BAKER ST,WEST PEACHTREE ST,PEACHTREE CENTER AVE,13.0,38.57,23.7346385,Poor
GERTRUDE PL,HORTENSE WAY,GERTRUDE PL,20.0,64.27,35.9381775,Marginal
NORTH HIGHLAND AVE,LOS ANGELES AVE,LOS ANGELES AVE,22.0,52.4,47.54809852,Marginal
BOULEVARD,ROBINSON AVE,ROBINSON AVE,23.0,46.975,64.85620225,Marginal
WILKINS LN,SCOTT ST,CUSHMAN CIR,24.0,21.3,54.50796579,Poor
MOROSGO DR,PIEDMONT RD,MOROSGO PL,13.0,70.42,59.56432587,Good
KIPLING DR,RADCLIFFE DR,HOWELL MILL RD,45.0,61.88,51.79574622,Fair
CENTER ST,PINE ST,MERRITTS AVE,54.0,41.235,58.88748087,Marginal
BEAUPREE ST,SOUTH END,REYNOLDS DR,17.0,68.19,62.78336549,Good
PYLANT ST,WEST END,PONCE DE LEON PL,37.0,46.1,42.05781728,Poor
PEEPLES ST SW,TUCKER AVE,ARLINGTON AVE SW,13.0,50.17,44.67589457,Marginal
RALPH MCGILL BLVD,DOWNTOWN CONNECTOR,PIEDMONT AVE,16.0,65.23,59.53501255,Fair
MOURY AVE,BENJAMIN WELDON BICKERS DR,MURRAY ST,20.0,72.22,61.20732245,Good
ATLANTA AVE,CHEROKEE AVE,PARK AVE,57.0,61.375,45.75871523,Fair
LAKEWOOD AVE,LAKEWOOD TER,SHADYDALE AVE,47.0,16.495,39.56015637,Very Poor
PENNINGTON CIR,WARD DR,RUZELLE DR,38.0,77.59,57.9627975,Good
RIVERCHESS DR SW,RIVERCHESS CT SW,RIVEROAK CT SW,63.0,78.5,59.14375,Good
NORTH AVE,TRAVIS ST,WALNUT ST,51.0,52.92,63.21361296,Fair
BOULDER PARK DR SW,NATHAN RD SW,BOULDER PARK LN SW,20.0,30.175,55.44038558,Poor
ADINA DR NE,DEAD END,GARSON DR NE,22.0,18.65,46.80325512,Very Poor
LANIER PL,NORTH MORNINGSIDE DR,NORTH HIGHLAND AVE,57.0,37.305,49.88070191,Poor
WOODLAND AVE,DONALD LEE HOLLOWELL PKWY,NORTH END,17.0,8.325,35.06064506,Very Poor
ASHLAND AVE,LAKE AVE,VIRGIL ST,21.0,49.19,61.00712093,Marginal
PIEDMONT AVE,LINDEN AVE,NORTH AVE,54.0,79.8,65.62450553,Very Good
CLIFTON RD,PONCE DE LEON AVE,PONCE DE LEON AVE,16.0,55.0,15.375,Poor
CLAYTON RD,OTTLEY DR NE,ARMOUR DR,20.0,54.83,48.53248032,Marginal
TIFT ST,BLUFF ST,MURPHY AVE,18.0,86.6,67.831,Very Good
STONEGATE CT,SOUTH END,STONEGATE DR,24.0,15.215,23.87452721,Very Poor
PELHAM ST,CAIRO ST,NORFOLK ST,24.0,24.3,67.34847216,Poor
PEACHTREE CENTER AVE,ANDREW YOUNG INTERNATIONAL BLVD,HARRIS ST,20.0,11.895,51.24279133,Very Poor
ORA AVE,BRAEBURN DR,VAN VLECK AVE,46.0,33.775,41.00939658,Poor
BOULDER PARK DR SW,BOULDER PARK LN SW,ENGLISH DR,19.0,30.175,55.44038558,Poor
GILMER ST,PIEDMONT AVE,JESSE HILL JR DR,18.0,39.665,39.9144325,Poor
NORTHSIDE DR,BROADLAND RD,ANDOVER DR,67.0,80.9,81.06017408,Very Good
CAMP GROUND RD,AUSTIN CT,AUSTIN RD,23.0,32.155,58.27134576,Poor
CAMPBELLTON RD,OLIVE ST,EPWORTH ST,23.0,9.69,44.24642643,Very Poor
ALABAMA ST,BROAD ST,PEACHTREE ST,48.0,78.8,59.524,Good
BOWEN ST,OLD CHATTAHOOCHEE AVE,HOWELL MILL RD,19.0,59.51,40.75148123,Marginal
BRIARCLIFF CT,BRIARCLIFF TER,BRIARCLIFF TER,22.0,19.28,45.04666435,Very Poor
PARROTT AVE,BRICK PLANT RD,SPAD AVE,23.0,54.5,51.71358092,Marginal
JULIAN ST NW,DONALD LEE HOLLOWELL PKWY NW,DEAD END,8.0,57.53,53.73097672,Fair
PANTHER TRL,MOUNT GILEAD RD,STAR MIST DR,24.0,12.775,52.15141775,Very Poor
DIVISION PL,ARDEN AVE,DILL AVE,64.0,60.465,61.41101479,Fair
CHATEAU DR,VERDUN DR,MARNE DR,47.0,41.87,57.78967315,Marginal
CHATEAU DR,VERDUN DR,MARNE DR,47.0,41.87,57.78967315,Marginal
WOODS ST,WOODWARD AVE,MEMORIAL DR,48.0,59.01,62.41072122,Fair
OLYMPIAN DR,BEECHER ST,LINDA WAY,64.0,97.1,88.27595,Excellent
GREENLAND DR,COURTENAY DR,HILLPINE DR,49.0,74.93,69.91506672,Good
CARLTON DR,LAKE FORREST DR,LAKE FORREST LN,24.0,86.2,83.2868251,Excellent
RALPH MCGILL BLVD,BOULEVARD,GLEN IRIS DR,23.0,76.82,56.93119,Good
ARKWRIGHT PL,ERICSON ST,EAST END,15.0,42.985,52.40480643,Marginal
JOSEPH E LOWERY BLVD,ROSE CIR,WHITE ST,21.0,53.875,59.58918677,Fair
LEE ST,WHITE ST,LEE ST,10.0,35.825,49.74486057,Poor
WEST PEACHTREE PL,SPRING ST,WILLIAMS ST,65.0,35.705,55.84398827,Poor
BILL LUCAS DR,REED ST,KELLY ST,57.0,68.33,43.5912775,Fair
LAKELAND DR,ROSWELL RD,ROSWELL CT,16.0,33.8,54.29353354,Poor
LANSING ST,DOROTHY ST,DOROTHY ST,20.0,5.62,35.58140372,Very Poor
BLANTON AVE,STONE RD,DANIEL RD,21.0,22.295,29.05548506,Very Poor
WESTCHESTER BLVD,CHICAGO AVE,ILLINOIS AVE,10.0,42.655,53.89791566,Marginal
EDIE AVE,SCHUYLER AVE,HAMILTON AVE,44.0,27.975,37.47568937,Poor
ATLANTA AVE,RAWLINS ST,CHEROKEE AVE,56.0,21.5,64.49329183,Poor
HARDEE ST NE,SEABOARD AVE NE,WALTHALL ST NE,65.0,54.53,63.86711479,Fair
PEYTON RD SW,PEYTON CROSSING DR,HARRINGTON PL,67.0,63.0,69.1499533,Good
COURTENAY DR,NORTH HIGHLAND AVE,LANIER PL,59.0,77.095,79.69882242,Very Good
BEELER DR,CLEVELAND AVE,CONNELL AVE,40.0,38.145,60.74373951,Marginal
IRA ST,GLENN ST,CRUMLEY ST,59.0,66.38,45.48644558,Fair
HILLIARD ST,OLD WHEAT ST,IRWIN ST,44.0,37.69,61.33997662,Marginal
PARSONS PL,PARSONS ST,PALMETTO AVE,46.0,67.7,57.50017496,Fair
MARIETTA ST NW,BRADY AVE NW,BRADY AVE NW,50.0,45.065,73.65957822,Marginal
CARLISLE WAY NE,RENAISSANCE PKWY NE,DEAD END,63.0,88.7,69.54775,Very Good
BRYAN ST,CAMERON ST,CHASTAIN ST,57.0,79.5,60.39375,Good
LENOX RD,CRANE RD,CANTER RD,41.0,63.0,67.29106257,Fair
KENSINGTON ST,HARDEE ST,WADE ST,59.0,54.53,63.86711479,Fair
7TH ST,MENTELLE DR,CHARLES ALLEN DR,64.0,63.195,49.20670685,Fair
UNIVERSITY AVE,SMITH ST,IRA ST,49.0,81.2,69.43357155,Very Good
MITCHELL ST,JOSEPH E LOWERY BLVD,PASCHAL BLVD,63.0,72.97,51.3284775,Good
SOUTH BEND AVE,CHARLESTON AVE,RICHMOND AVE,37.0,71.5,48.99375,Fair
CASCADE AVE,CASCADE CIR,CASCADE CIR,46.0,62.74,32.84031,Marginal
FORREST PARK RD,FORREST DR,FORREST CIR,63.0,64.56,64.9787809,Fair
KIRKWOOD RD,ROBSON PL,WARLICK PL,43.0,55.915,66.7686744,Fair
OLD WHEAT ST,RANDOLPH ST,AIRLINE ST,61.0,69.32,58.80632141,Good
HANSELL ST,PARK AVE,BOULEVARD,47.0,74.545,85.82745824,Very Good
MAY AVE,PATTERSON AVE,DORR AVE,58.0,59.555,66.82639377,Fair
DEFOORS FERRY RD,CORONET WAY,PINE GROVE DR,64.0,56.445,57.60010675,Fair
PRYOR ST,WALL ST,PARK PL,50.0,50.63,29.84182345,Poor
PRYOR ST,WALL ST,PARK PL,50.0,50.63,29.84182345,Poor
TENELLE ST,BEREAN AVE,POWELL ST,55.0,70.87,73.19066209,Good
LAKE FORREST DR,LAKE FORREST DR NE,BARBARA LN,49.0,73.67,77.4432227,Good
MARTIN LUTHER KING JR DR,MAYSON TURNER RD,PASCHAL BLVD,58.0,76.1,67.64211871,Good
RALPH MCGILL BLVD,ANGIER AVE,ENSLEY ST,59.0,34.825,79.50473219,Marginal
THAYER AVE,MURRAY ST,CROGMAN ST,51.0,35.865,36.64460672,Poor
GRIFFIN ST,FOX ST,BANKHEAD AVE,67.0,82.9,64.26975,Very Good
LAYTON AVE,WHITTIER AVE,BUTLER WAY,59.0,55.8,58.08423276,Fair
OZARK TRL,OMAHA RD,NORTH END,45.0,82.3,89.69585424,Very Good
STATE ST,HUNERKOPF ST,14TH ST,55.0,60.89,75.47193381,Good
HOWELL ST,DECATUR ST,WALKER ALLEY,55.0,83.395,64.78584937,Very Good
PARK AVE,SOUTH END,BAGWELL DR,50.0,49.435,73.81779004,Fair
OLD WHEAT ST,HILLIARD ST,JACKSON ST,55.0,51.12,53.54738694,Marginal
BLAKELY DR NE,DEAD END,LAKESHORE DR NE,64.0,46.37,47.90634131,Marginal
MOUNT ZION RD,MACON DR,EMBRY WAY,66.0,54.885,61.74759502,Fair
HUBBARD ST,FLETCHER ST,DELEVAN ST,61.0,66.97,42.41366289,Fair
CUMBERLAND RD,WESSYNGTON RD,LANIER PL,54.0,60.385,45.62766925,Fair
GRANDVIEW AVE,PEYTON RD,OAKDALE ST,40.0,91.1,86.4885334,Excellent
CLUB TER,CLUB VALLEY DR,ANGELO CT,50.0,40.7,57.07068998,Marginal
REDFORD DR,REDFORD DR,REBEL FOREST DR,64.0,53.93,71.15701827,Fair
PEACHTREE ST,PORTER PL,PEACHTREE CENTER AVE,52.0,73.95,52.8249375,Good
FORREST ST,BERKELEY AVE,ANTONE ST,41.0,35.455,37.84489111,Poor
26TH ST,ALDEN AVE,PEACHTREE ST,50.0,64.9,61.19502486,Fair
SPRING ST,WEST PEACHTREE PL,IVAN ALLEN JR BLVD,41.0,83.17,64.5527775,Very Good
NORWOOD AVE,LANES LN,FOWLER ST,59.0,73.4,60.19964305,Good
IRWIN ST,HOWELL ST,BRADLEY ST,44.0,59.415,80.22738131,Good
PIEDMONT RD NE,CHESHIRE BRIDGE RD NE,CHESHIRE BRIDGE RD NE,62.0,82.9,64.26975,Very Good
OVERBROOK DR,NORTHSIDE DR,COTTAGE LN,48.0,71.1,61.67398562,Good
NEW YORK AVE,ARIZONA AVE,CONNECTICUT AVE,59.0,46.375,69.47615481,Marginal
ROY ST,MCDANIEL ST,SMITH ST,50.0,76.89,57.0261975,Good
OAK ST,JOSEPH E LOWERY BLVD,DUNN ST,60.0,77.845,58.29789937,Good
VIRGINIA AVE,KANUGA ST,PARK DR,46.0,72.83,61.62879503,Good
NORTH VIRGINIA AVE,STILLWOOD DR,VIRGINIA AVE,67.0,80.4,61.476,Good
BERYL ST,ROCKWELL ST,BENDER ST,58.0,57.61,54.12765645,Fair
8TH ST,VEDADO WAY,MONROE DR,64.0,50.3,57.6426704,Marginal
