NIBRS Code Name,Longitude,Latitude
Destruction/Damage/Vandalism of Property,-84.522624,33.717412
Theft From Motor Vehicle,-84.403291,33.741818
Theft From Motor Vehicle,-84.381968,33.857376
Drug/Narcotic Violations,-84.427894,33.796861
Shoplifting,-84.362279,33.846108
Intimidation,-84.468948,33.813455
Drug/Narcotic Violations,-84.375268,33.754343
Destruction/Damage/Vandalism of Property,-84.368114,33.724779
Motor Vehicle Theft,-84.366678,33.768889
Drug/Narcotic Violations,-84.510597,33.760146
Destruction/Damage/Vandalism of Property,-84.497571,33.746513
Theft From Motor Vehicle,-84.352679,33.777502
Motor Vehicle Theft,-84.494355,33.781504
Destruction/Damage/Vandalism of Property,-84.348801,33.824339
All Other Larceny,-84.404238,33.740863
All Other Larceny,-84.399207,33.793027
All Other Larceny,-84.420631,33.756375
Drug/Narcotic Violations,-84.468694,33.752122
Theft From Motor Vehicle,-84.428451,33.744453
Destruction/Damage/Vandalism of Property,-84.384142,33.709597
Drug/Narcotic Violations,-84.507925,33.762485
Burglary/Breaking & Entering,-84.371794,33.754111
Credit Card/Automated Teller Machine Fraud,-84.347266,33.758174
Credit Card/Automated Teller Machine Fraud,-84.347266,33.758174
Motor Vehicle Theft,-84.443452,33.723441
Simple Assault,-84.497571,33.746513
Destruction/Damage/Vandalism of Property,-84.435174,33.812621
Theft From Motor Vehicle,-84.363497,33.742011
Simple Assault,-84.403539,33.678549
Destruction/Damage/Vandalism of Property,-84.488654,33.688597
Motor Vehicle Theft,-84.352068,33.754618
Shoplifting,-84.362119,33.84676
Destruction/Damage/Vandalism of Property,-84.406759,33.680134
Theft From Motor Vehicle,-84.404946,33.759026
Theft From Motor Vehicle,-84.506296,33.75504
Motor Vehicle Theft,-84.506296,33.75504
Shoplifting,-84.378569,33.838326
Theft From Motor Vehicle,-84.394839,33.736719
Burglary/Breaking & Entering,-84.408188,33.79941
Stolen Property Offenses,-84.362119,33.84676
Motor Vehicle Theft,-84.498661,33.696048
Motor Vehicle Theft,-84.366886,33.824946
Destruction/Damage/Vandalism of Property,-84.435174,33.812621
Drug/Narcotic Violations,-84.366839,33.823965
Aggravated Assault,-84.426111,33.763387
Theft From Motor Vehicle,-84.358464,33.761978
Motor Vehicle Theft,-84.350833,33.818028
Aggravated Assault,-84.463727,33.73003
False Pretenses/Swindle/Confidence Game,-84.444325,33.786058
Theft From Motor Vehicle,-84.391213,33.757936
Theft From Motor Vehicle,-84.360387,33.761914
Theft From Motor Vehicle,-84.384378,33.785996
False Pretenses/Swindle/Confidence Game,-84.389188,33.774291
Simple Assault,-84.425509,33.756539
Sodomy,-84.378971,33.783838
Simple Assault,-84.416795,33.820394
Theft From Motor Vehicle,-84.409153,33.781557
Motor Vehicle Theft,-84.40851,33.77873
Drug/Narcotic Violations,-84.380351,33.708305
Drug/Narcotic Violations,-84.424297,33.738736
Theft From Motor Vehicle,-84.413766,33.781265
Aggravated Assault,-84.416565,33.750584
Simple Assault,-84.433688,33.763333
Theft From Motor Vehicle,-84.388113,33.780059
Theft From Motor Vehicle,-84.415481,33.7651
Shoplifting,-84.396918,33.792122
Aggravated Assault,-84.372258,33.76779
Theft From Motor Vehicle,-84.398609,33.79134
Drug/Narcotic Violations,-84.455726,33.777454
Drug Equipment Violations,-84.374705,33.755731
Burglary/Breaking & Entering,-84.359729,33.709261
Drug Equipment Violations,-84.420957,33.7723
Drug/Narcotic Violations,-84.439665,33.864894
Robbery,-84.421166,33.749166
Destruction/Damage/Vandalism of Property,-84.382797,33.78359
Impersonation,-84.366262,33.806222
Motor Vehicle Theft,-84.439577,33.717832
Impersonation,-84.384954,33.761588
Aggravated Assault,-84.523717,33.663869
Burglary/Breaking & Entering,-84.36291,33.812644
Impersonation,-84.415002,33.807448
Drug/Narcotic Violations,-84.384434,33.757161
Drug/Narcotic Violations,-84.365282,33.774061
Theft From Motor Vehicle,-84.374603,33.755607
Theft From Motor Vehicle,-84.435614,33.808921
Simple Assault,-84.523282,33.744097
Motor Vehicle Theft,-84.419985,33.739968
Theft From Motor Vehicle,-84.427849,33.716084
Burglary/Breaking & Entering,-84.340964,33.757668
Theft From Motor Vehicle,-84.427225,33.653689
Destruction/Damage/Vandalism of Property,-84.385264,33.774066
Destruction/Damage/Vandalism of Property,-84.482866,33.697996
Simple Assault,-84.402518,33.752672
Theft From Motor Vehicle,-84.370443,33.774112
Motor Vehicle Theft,-84.511653,33.731775
Simple Assault,-84.403489,33.763801
Aggravated Assault,-84.403489,33.763801
All Other Larceny,-84.395885,33.711962
Simple Assault,-84.382605,33.75775
Theft From Motor Vehicle,-84.399284,33.753269
All Other Larceny,-84.449588,33.766327
Motor Vehicle Theft,-84.502502,33.746149
Theft From Motor Vehicle,-84.371013,33.797888
Simple Assault,-84.41742,33.740535
Weapon Law Violations,-84.44251,33.639731
Theft From Motor Vehicle,-84.380086,33.767385
Motor Vehicle Theft,-84.367606,33.67113
Drug/Narcotic Violations,-84.407458,33.762651
Motor Vehicle Theft,-84.4966,33.72955
Burglary/Breaking & Entering,-84.416946,33.799025
All Other Larceny,-84.366034,33.78098
Motor Vehicle Theft,-84.426467,33.745375
Theft From Motor Vehicle,-84.41682,33.740539
Simple Assault,-84.411025,33.786402
Simple Assault,-84.523132,33.71734
Theft From Motor Vehicle,-84.391833,33.67295
Theft of Motor Vehicle Parts or Accessories,-84.384594,33.732131
Burglary/Breaking & Entering,-84.467785,33.705678
Theft From Motor Vehicle,-84.383741,33.772516
Drug/Narcotic Violations,-84.414358,33.740422
Aggravated Assault,-84.483616,33.75495
Intimidation,-84.380351,33.708305
Theft From Motor Vehicle,-84.352523,33.763471
Destruction/Damage/Vandalism of Property,-84.352679,33.777502
Destruction/Damage/Vandalism of Property,-84.352831,33.775797
Theft From Motor Vehicle,-84.352831,33.775797
Shoplifting,-84.534641,33.695719
Drug/Narcotic Violations,-84.349775,33.747812
All Other Larceny,-84.37207,33.764204
Motor Vehicle Theft,-84.373593,33.768095
False Pretenses/Swindle/Confidence Game,-84.314586,33.743683
Theft From Building,-84.451158,33.77714
Shoplifting,-84.534622,33.697039
False Pretenses/Swindle/Confidence Game,-84.366722,33.806772
False Pretenses/Swindle/Confidence Game,-84.408168,33.680569
Simple Assault,-84.505578,33.75935
Theft From Motor Vehicle,-84.371406,33.75481
Drug/Narcotic Violations,-84.413094,33.807974
Weapon Law Violations,-84.413094,33.807974
Shoplifting,-84.449591,33.776251
Aggravated Assault,-84.494155,33.669451
Motor Vehicle Theft,-84.448736,33.733428
False Pretenses/Swindle/Confidence Game,-84.383806,33.762722
Motor Vehicle Theft,-84.360711,33.763283
Motor Vehicle Theft,-84.388367,33.732752
Shoplifting,-84.46453,33.721862
Theft From Motor Vehicle,-84.384488,33.772579
Burglary/Breaking & Entering,-84.421201,33.727603
Weapon Law Violations,-84.363821,33.75356
Drug/Narcotic Violations,-84.363821,33.75356
Robbery,-84.363564,33.809306
Theft From Motor Vehicle,-84.489634,33.690451
Motor Vehicle Theft,-84.375875,33.763679
Theft From Building,-84.373945,33.811727
Theft From Motor Vehicle,-84.402678,33.738014
Simple Assault,-84.369908,33.773624
All Other Larceny,-84.374212,33.849297
Theft From Motor Vehicle,-84.389424,33.780098
Theft From Motor Vehicle,-84.349603,33.757357
Theft From Motor Vehicle,-84.439516,33.814617
Intimidation,-84.397908,33.742478
Drug/Narcotic Violations,-84.420688,33.751639
Simple Assault,-84.406773,33.792295
Shoplifting,-84.35889,33.708764
Simple Assault,-84.392236,33.751825
Theft From Motor Vehicle,-84.357666,33.773472
Drug/Narcotic Violations,-84.507034,33.760272
Theft From Motor Vehicle,-84.433373,33.798478
Aggravated Assault,-84.506032,33.670306
Weapon Law Violations,-84.507034,33.760272
Motor Vehicle Theft,-84.393291,33.717171
Motor Vehicle Theft,-84.403309,33.746271
Destruction/Damage/Vandalism of Property,-84.444368,33.640311
Motor Vehicle Theft,-84.524785,33.754851
Motor Vehicle Theft,-84.383745,33.666108
Theft From Motor Vehicle,-84.358322,33.853248
Motor Vehicle Theft,-84.378861,33.712623
False Pretenses/Swindle/Confidence Game,-84.500279,33.703577
Impersonation,-84.382561,33.788339
Aggravated Assault,-84.362141,33.822239
Drug/Narcotic Violations,-84.414426,33.738054
Impersonation,-84.45994,33.69999
Theft From Motor Vehicle,-84.384931,33.775049
Destruction/Damage/Vandalism of Property,-84.375739,33.837523
Aggravated Assault,-84.365186,33.807476
Motor Vehicle Theft,-84.389983,33.737698
Simple Assault,-84.461014,33.752097
Motor Vehicle Theft,-84.366644,33.824639
Simple Assault,-84.374497,33.84848
Burglary/Breaking & Entering,-84.435816,33.719126
Destruction/Damage/Vandalism of Property,-84.382757,33.778835
Theft From Motor Vehicle,-84.36626,33.806219
Destruction/Damage/Vandalism of Property,-84.520908,33.69639
Theft From Motor Vehicle,-84.37942,33.755525
Weapon Law Violations,-84.379981,33.707913
Motor Vehicle Theft,-84.520908,33.69639
Destruction/Damage/Vandalism of Property,-84.383044,33.729264
Theft of Motor Vehicle Parts or Accessories,-84.455968,33.63407
Motor Vehicle Theft,-84.436532,33.722468
Destruction/Damage/Vandalism of Property,-84.428641,33.730551
Theft From Motor Vehicle,-84.389827,33.752607
All Other Larceny,-84.364603,33.779241
Drug/Narcotic Violations,-84.387711,33.743033
Theft From Building,-84.383519,33.777867
Destruction/Damage/Vandalism of Property,-84.357312,33.684037
Simple Assault,-84.423634,33.755546
Aggravated Assault,-84.366956,33.823294
Motor Vehicle Theft,-84.378254,33.779631
All Other Larceny,-84.438805,33.641645
Drug/Narcotic Violations,-84.39887,33.70725
Motor Vehicle Theft,-84.412082,33.775337
Theft From Motor Vehicle,-84.427148,33.7965
Destruction/Damage/Vandalism of Property,-84.36584,33.775198
Simple Assault,-84.479353,33.694969
Simple Assault,-84.420588,33.727663
Destruction/Damage/Vandalism of Property,-84.397629,33.710635
Theft From Motor Vehicle,-84.426691,33.746668
Shoplifting,-84.362119,33.84676
Drug/Narcotic Violations,-84.42028,33.750911
Theft From Building,-84.366332,33.847791
Motor Vehicle Theft,-84.364199,33.822668
Motor Vehicle Theft,-84.438509,33.721355
False Pretenses/Swindle/Confidence Game,-84.350777,33.81734
Simple Assault,-84.464201,33.722113
False Pretenses/Swindle/Confidence Game,-84.394417,33.748137
Destruction/Damage/Vandalism of Property,-84.507113,33.744387
Theft of Motor Vehicle Parts or Accessories,-84.507113,33.744387
Shoplifting,-84.346104,33.756835
Motor Vehicle Theft,-84.426826,33.743484
Motor Vehicle Theft,-84.375579,33.754703
Motor Vehicle Theft,-84.36715,33.65218
Theft From Motor Vehicle,-84.360367,33.746291
Theft From Motor Vehicle,-84.38146,33.755194
Motor Vehicle Theft,-84.347216,33.762794
Motor Vehicle Theft,-84.450634,33.794535
Theft From Motor Vehicle,-84.449292,33.818629
Simple Assault,-84.433543,33.771029
Drug/Narcotic Violations,-84.407257,33.689433
Simple Assault,-84.512144,33.767316
Motor Vehicle Theft,-84.502446,33.746126
Drug/Narcotic Violations,-84.387886,33.762539
Destruction/Damage/Vandalism of Property,-84.442758,33.637358
All Other Larceny,-84.40748,33.78301
Aggravated Assault,-84.444111,33.711073
Simple Assault,-84.392385,33.81242
Simple Assault,-84.501718,33.700127
Destruction/Damage/Vandalism of Property,-84.380269,33.744383
Motor Vehicle Theft,-84.359822,33.755182
Motor Vehicle Theft,-84.404238,33.740863
Destruction/Damage/Vandalism of Property,-84.433144,33.737504
Destruction/Damage/Vandalism of Property,-84.349245,33.848965
Motor Vehicle Theft,-84.394798,33.765808
Shoplifting,-84.365589,33.822946
Destruction/Damage/Vandalism of Property,-84.362141,33.822239
Simple Assault,-84.387573,33.780159
Theft From Motor Vehicle,-84.363668,33.769345
Simple Assault,-84.465379,33.700752
Simple Assault,-84.452151,33.760351
Theft From Motor Vehicle,-84.389755,33.774872
Burglary/Breaking & Entering,-84.518532,33.761637
Motor Vehicle Theft,-84.405299,33.755595
Simple Assault,-84.351988,33.819502
