NIBRS Code Name,Longitude,Latitude
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
False Pretenses/Swindle/Confidence Game,-84.468074,33.638991
Drug/Narcotic Violations,-84.43957293,33.63901498
Destruction/Damage/Vandalism of Property,-84.463914,33.63904
Motor Vehicle Theft,-84.463914,33.63904
Motor Vehicle Theft,-84.463914,33.63904
Weapon Law Violations,-84.463914,33.63904
Destruction/Damage/Vandalism of Property,-84.463914,33.63904
Motor Vehicle Theft,-84.463914,33.63904
Motor Vehicle Theft,-84.463914,33.63904
Simple Assault,-84.463914,33.63904
Motor Vehicle Theft,-84.463914,33.63904
Theft From Motor Vehicle,-84.463914,33.63904
Motor Vehicle Theft,-84.463914,33.63904
Motor Vehicle Theft,-84.46391377,33.63904003
Motor Vehicle Theft,-84.44567438,33.63921158
Motor Vehicle Theft,-84.44567438,33.63921158
Motor Vehicle Theft,-84.44567438,33.63921158
Motor Vehicle Theft,-84.44567438,33.63921158
Destruction/Damage/Vandalism of Property,-84.418901,33.639344
All Other Larceny,-84.418901,33.639344
Drug/Narcotic Violations,-84.418901,33.639344
All Other Larceny,-84.418901,33.639344
All Other Larceny,-84.418901,33.639344
All Other Larceny,-84.418901,33.639344
Theft From Building,-84.418901,33.639344
Shoplifting,-84.418901,33.639344
Destruction/Damage/Vandalism of Property,-84.418901,33.639344
All Other Larceny,-84.418901,33.639344
Shoplifting,-84.418901,33.639344
Shoplifting,-84.418901,33.639344
Destruction/Damage/Vandalism of Property,-84.418901,33.639344
All Other Larceny,-84.418901,33.639344
All Other Larceny,-84.418901,33.639344
All Other Larceny,-84.418901,33.639344
All Other Larceny,-84.418901,33.639344
Shoplifting,-84.418901,33.639344
Theft From Building,-84.418901,33.639344
Credit Card/Automated Teller Machine Fraud,-84.418901,33.639344
Credit Card/Automated Teller Machine Fraud,-84.418901,33.639344
All Other Larceny,-84.418901,33.639344
Drug/Narcotic Violations,-84.418901,33.639344
All Other Larceny,-84.418901,33.639344
Shoplifting,-84.418901,33.639344
Weapon Law Violations,-84.418901,33.639344
All Other Larceny,-84.418901,33.639344
Sexual Assault With An Object,-84.418901,33.639344
All Other Larceny,-84.418901,33.639344
All Other Larceny,-84.418901,33.639344
All Other Larceny,-84.418901,33.639344
Drug/Narcotic Violations,-84.418901,33.639344
Weapon Law Violations,-84.418901,33.639344
Theft From Building,-84.418901,33.639344
All Other Larceny,-84.418901,33.639344
Intimidation,-84.418901,33.639344
Embezzlement,-84.46798408,33.63936223
Drug/Narcotic Violations,-84.432147,33.639369
All Other Larceny,-84.432147,33.639369
All Other Larceny,-84.432147,33.639369
Simple Assault,-84.432147,33.639369
All Other Larceny,-84.432147,33.639369
Intimidation,-84.432147,33.639369
Simple Assault,-84.432147,33.639369
All Other Larceny,-84.432147,33.639369
All Other Larceny,-84.432147,33.639369
All Other Larceny,-84.432147,33.639369
All Other Larceny,-84.432147,33.639369
All Other Larceny,-84.432147,33.639369
Drug/Narcotic Violations,-84.432147,33.639369
All Other Larceny,-84.432147,33.639369
All Other Larceny,-84.432147,33.639369
All Other Larceny,-84.432147,33.639369
Destruction/Damage/Vandalism of Property,-84.432147,33.639369
All Other Larceny,-84.432147,33.639369
All Other Larceny,-84.432147,33.639369
Theft From Building,-84.432147,33.639369
All Other Larceny,-84.432147,33.639369
Destruction/Damage/Vandalism of Property,-84.432147,33.639369
All Other Larceny,-84.432147,33.639369
Drug/Narcotic Violations,-84.442743,33.639396
All Other Larceny,-84.442743,33.639396
Motor Vehicle Theft,-84.44274306,33.63939625
Drug/Narcotic Violations,-84.41650361,33.63946054
Stolen Property Offenses,-84.416504,33.639461
Stolen Property Offenses,-84.416504,33.639461
Stolen Property Offenses,-84.416504,33.639461
Stolen Property Offenses,-84.416504,33.639461
All Other Larceny,-84.416504,33.639461
False Pretenses/Swindle/Confidence Game,-84.467924,33.639611
False Pretenses/Swindle/Confidence Game,-84.403825,33.639645
Credit Card/Automated Teller Machine Fraud,-84.403825,33.639645
Credit Card/Automated Teller Machine Fraud,-84.403825,33.639645
False Pretenses/Swindle/Confidence Game,-84.464157,33.639722
False Pretenses/Swindle/Confidence Game,-84.464157,33.639722
False Pretenses/Swindle/Confidence Game,-84.44251,33.639731
Weapon Law Violations,-84.44251,33.639731
Weapon Law Violations,-84.44251,33.639731
Weapon Law Violations,-84.44251,33.639731
Credit Card/Automated Teller Machine Fraud,-84.44251,33.639731
Credit Card/Automated Teller Machine Fraud,-84.44251,33.639731
